ITEM,Departamento,Municipio,Año,Mes,Contrato,Campo,Tipo Prod,Tipo Hidrocarburo,Precio Hidrocarburo USD,Porc Regalia,Prod. Gravable Bls/Kpc,Volumen Regalia Bls/Kpc,Regalias COP,Trm Promedio,Regimen Reg
323,ARAUCA,ARAUCA,2017,1,CRAVO NORTE,REDONDO,QB,G,6.05,0.2,3,0.6,10677.75,2941.4,Ley 141 20%
1,ANTIOQUIA,PUERTO NARE,2017,1,CONTRATO DE COLABORACIÓN EMPRESARIAL CAMPO ÁREA TECA – COCORNÁ ENTRE ECOPETROL S,AREA TECA-COCORNA,I,O,37.63,0.06,0,0,0,2941.4,Ley 756 8% variable
2,ANTIOQUIA,PUERTO NARE,2017,1,NARE ASOCIACION,NARE,B,G,3.06,0.2,0,0,0,2941.4,Ley 141 20%
3,ANTIOQUIA,PUERTO NARE,2017,1,NARE ASOCIACION,NARE,B,O,30.32,0.2,8424,1684.8,150269316.27,2941.4,Ley 141 20%
4,ANTIOQUIA,PUERTO NARE,2017,1,NARE ASOCIACION,UNDERRIVER,P,O,28.52,0.06,29006,1740.36,145993003.25,2941.4,Ley 756 8% variable
5,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.7,0.12,0,0,0,2941.4,ARTICULO 39 LEY 756
6,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.7,0.12,3977,477.24,5199784.59,2941.4,ARTICULO 39 LEY 756
7,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.63,0.12,16737,2008.44,222274406.27,2941.4,ARTICULO 39 LEY 756
8,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.7,0.12,0,0,0,2941.4,ARTICULO 39 LEY 756
9,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.63,0.12,0,0,0,2941.4,ARTICULO 39 LEY 756
10,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.7,0.2,3977,795.4,8666307.6,2941.4,Ley 141 20%
11,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.7,0.2,0,0,0,2941.4,Ley 141 20%
12,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.63,0.2,16737,3347.4,370457343.25,2941.4,Ley 141 20%
13,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.7,0.2,0,0,0,2941.4,Ley 141 20%
14,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.63,0.2,0,0,0,2941.4,Ley 141 20%
15,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,37.63,0.06,19071,1144.26,126635454.37,2941.4,Ley 756 8% variable
16,ANTIOQUIA,PUERTO NARE,2017,2,CONTRATO DE COLABORACIÓN EMPRESARIAL CAMPO ÁREA TECA – COCORNÁ ENTRE ECOPETROL S,AREA TECA-COCORNA,I,O,39.7,0.06,0,0,0,2879.57,Ley 756 8% variable
17,ANTIOQUIA,PUERTO NARE,2017,2,NARE ASOCIACION,NARE,B,G,3.11,0.2,0,0,0,2879.57,Ley 141 20%
18,ANTIOQUIA,PUERTO NARE,2017,2,NARE ASOCIACION,NARE,B,O,32.4,0.2,7197,1439.4,134298627.24,2879.57,Ley 141 20%
19,ANTIOQUIA,PUERTO NARE,2017,2,NARE ASOCIACION,UNDERRIVER,P,O,30.62,0.06,22314,1338.84,118044925.39,2879.57,Ley 756 8% variable
20,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.77,0.12,0,0,0,2879.57,ARTICULO 39 LEY 756
21,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.77,0.12,3358,402.96,4374293.19,2879.57,ARTICULO 39 LEY 756
22,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.7,0.12,14312,1717.44,196318592.21,2879.57,ARTICULO 39 LEY 756
23,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.77,0.12,0,0,0,2879.57,ARTICULO 39 LEY 756
24,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.7,0.12,0,0,0,2879.57,ARTICULO 39 LEY 756
25,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.77,0.2,3358,671.6,7290488.55,2879.57,Ley 141 20%
26,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.77,0.2,0,0,0,2879.57,Ley 141 20%
27,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.7,0.2,0,0,0,2879.57,Ley 141 20%
28,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.77,0.2,0,0,0,2879.57,Ley 141 20%
29,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.7,0.2,14312,2862.4,327197653.59,2879.57,Ley 141 20%
30,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,39.7,0.06,14850,891,101849185.64,2879.57,Ley 756 8% variable
31,ANTIOQUIA,PUERTO NARE,2017,3,CONTRATO DE COLABORACIÓN EMPRESARIAL CAMPO ÁREA TECA – COCORNÁ ENTRE ECOPETROL S,AREA TECA-COCORNA,I,O,37.59,0.06,0,0,0,2942.29,Ley 756 8% variable
32,ANTIOQUIA,PUERTO NARE,2017,3,NARE ASOCIACION,NARE,B,O,30.33,0.2,7840,1568,139918091.33,2942.29,Ley 141 20%
33,ANTIOQUIA,PUERTO NARE,2017,3,NARE ASOCIACION,NARE,B,G,3.03,0.2,0,0,0,2942.29,Ley 141 20%
34,ANTIOQUIA,PUERTO NARE,2017,3,NARE ASOCIACION,UNDERRIVER,P,O,28.7,0.06,27287,1637.22,138236091.98,2942.29,Ley 756 8% variable
35,ANTIOQUIA,PUERTO NARE,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.67,0.12,0,0,0,2942.29,ARTICULO 39 LEY 756
36,ANTIOQUIA,PUERTO NARE,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.67,0.12,3655,438.6,4736092.4,2942.29,ARTICULO 39 LEY 756
37,ANTIOQUIA,PUERTO NARE,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.59,0.12,16026,1923.12,212676314.17,2942.29,ARTICULO 39 LEY 756
38,ANTIOQUIA,PUERTO NARE,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.67,0.12,0,0,0,2942.29,ARTICULO 39 LEY 756
39,ANTIOQUIA,PUERTO NARE,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.59,0.12,0,0,0,2942.29,ARTICULO 39 LEY 756
16837,TOLIMA,SAN LUIS,2017,3,CPI ORTEGA OTROSI 1,PACANDE,B,G,4.47,0.2,0,0,0,2942.29,Ley 141 20%
40,ANTIOQUIA,PUERTO NARE,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.67,0.2,3655,731,7893487.16,2942.29,Ley 141 20%
41,ANTIOQUIA,PUERTO NARE,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.67,0.2,0,0,0,2942.29,Ley 141 20%
42,ANTIOQUIA,PUERTO NARE,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.59,0.2,16026,3205.2,354460522.97,2942.29,Ley 141 20%
43,ANTIOQUIA,PUERTO NARE,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.67,0.2,0,0,0,2942.29,Ley 141 20%
44,ANTIOQUIA,PUERTO NARE,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.59,0.2,0,0,0,2942.29,Ley 141 20%
45,ANTIOQUIA,PUERTO NARE,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,37.59,0.06,13389,803.34,88840732.72,2942.29,Ley 756 8% variable
46,ANTIOQUIA,PUERTO NARE,2017,4,NARE ASOCIACION,NARE,B,O,33.06,0.2,6987,1397.4,132946035.66,2877.82,Ley 141 20%
47,ANTIOQUIA,PUERTO NARE,2017,4,NARE ASOCIACION,UNDERRIVER,P,O,32.55,0.06,26996,1619.76,151737167.53,2877.82,Ley 756 8% variable
48,ANTIOQUIA,PUERTO NARE,2017,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.79,0.2,3431,686.2,7482760.74,2877.82,Ley 141 20%
49,ANTIOQUIA,PUERTO NARE,2017,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.79,0.12,3431,411.72,4489656.54,2877.82,ARTICULO 39 LEY 756
50,ANTIOQUIA,PUERTO NARE,2017,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,40.05,0.06,14096,845.76,97487774.26,2877.82,Ley 756 8% variable
51,ANTIOQUIA,PUERTO NARE,2017,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,40.05,0.2,14915,2983,343839896.22,2877.82,Ley 141 20%
52,ANTIOQUIA,PUERTO NARE,2017,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,40.05,0.12,14915,1789.8,206303938.01,2877.82,ARTICULO 39 LEY 756
53,ANTIOQUIA,PUERTO NARE,2017,5,NARE ASOCIACION,NARE,B,O,32.34,0.2,8115,1623,153439205.55,2923.61,Ley 141 20%
54,ANTIOQUIA,PUERTO NARE,2017,5,NARE ASOCIACION,UNDERRIVER,P,O,31.86,0.06,30806,1848.36,172160171.7,2923.61,Ley 756 8% variable
55,ANTIOQUIA,PUERTO NARE,2017,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.72,0.2,3284.8,656.96,7152859.58,2923.61,Ley 141 20%
56,ANTIOQUIA,PUERTO NARE,2017,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.72,0.12,3284.8,394.18,4291715.76,2923.61,ARTICULO 39 LEY 756
57,ANTIOQUIA,PUERTO NARE,2017,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.31,0.2,15797.93,3159.59,363098067.59,2923.61,Ley 141 20%
58,ANTIOQUIA,PUERTO NARE,2017,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.31,0.12,15797.93,1895.75,217858840.62,2923.61,ARTICULO 39 LEY 756
59,ANTIOQUIA,PUERTO NARE,2017,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,39.31,0.06,14676,880.56,101193521.53,2923.61,Ley 756 8% variable
60,ANTIOQUIA,PUERTO NARE,2017,6,NARE ASOCIACION,NARE,B,O,29.24,0.2,6481.77,1296.35,112084281.43,2957.1,Ley 141 20%
61,ANTIOQUIA,PUERTO NARE,2017,6,NARE ASOCIACION,UNDERRIVER,P,O,28.77,0.06,24058.38,1443.5,122814791.33,2957.1,Ley 756 8% variable
62,ANTIOQUIA,PUERTO NARE,2017,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.76,0.2,3019.71,603.94,6717904.65,2957.1,Ley 141 20%
63,ANTIOQUIA,PUERTO NARE,2017,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.76,0.12,3019.71,362.37,4030742.98,2957.1,ARTICULO 39 LEY 756
64,ANTIOQUIA,PUERTO NARE,2017,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,36.23,0.2,15110.42,3022.08,323736544.02,2957.1,Ley 141 20%
65,ANTIOQUIA,PUERTO NARE,2017,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,36.23,0.12,15110.42,1813.25,194241926.67,2957.1,ARTICULO 39 LEY 756
66,ANTIOQUIA,PUERTO NARE,2017,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,36.23,0.06,16572.34,994.34,106517332.04,2957.1,Ley 756 8% variable
67,ANTIOQUIA,PUERTO NARE,2017,7,NARE ASOCIACION,NARE,B,O,30.11,0.2,6005.24,1201.05,109820457.95,3036.58,Ley 141 20%
68,ANTIOQUIA,PUERTO NARE,2017,7,NARE ASOCIACION,UNDERRIVER,P,O,29.65,0.06,23730.29,1423.82,128178990.36,3036.58,Ley 756 8% variable
69,ANTIOQUIA,PUERTO NARE,2017,7,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.73,0.2,3055.61,611.12,6912559.77,3036.58,Ley 141 20%
70,ANTIOQUIA,PUERTO NARE,2017,7,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.73,0.12,3055.61,366.67,4147536.09,3036.58,ARTICULO 39 LEY 756
71,ANTIOQUIA,PUERTO NARE,2017,7,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.4,0.2,14931.35,2986.27,339131383.6,3036.58,Ley 141 20%
72,ANTIOQUIA,PUERTO NARE,2017,7,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.4,0.12,14931.35,1791.76,203478830.41,3036.58,ARTICULO 39 LEY 756
73,ANTIOQUIA,PUERTO NARE,2017,7,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,37.4,0.06,18274.92,1096.5,124521873.27,3036.58,Ley 756 8% variable
74,ANTIOQUIA,PUERTO NARE,2017,8,NARE ASOCIACION,NARE,B,O,32.32,0.2,5016.89,1003.38,96428273.47,2973.2,Ley 141 20%
75,ANTIOQUIA,PUERTO NARE,2017,8,NARE ASOCIACION,UNDERRIVER,P,O,31.86,0.06,25249.58,1514.97,143523498.2,2973.2,Ley 756 8% variable
76,ANTIOQUIA,PUERTO NARE,2017,8,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.6,0.2,3107.9,621.58,6660116.6,2973.2,Ley 141 20%
77,ANTIOQUIA,PUERTO NARE,2017,8,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.6,0.12,3107.9,372.95,3996070,2973.2,ARTICULO 39 LEY 756
78,ANTIOQUIA,PUERTO NARE,2017,8,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.64,0.2,15536.49,3107.3,366236386.73,2973.2,Ley 141 20%
79,ANTIOQUIA,PUERTO NARE,2017,8,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.64,0.12,15536.49,1864.38,219741832.37,2973.2,ARTICULO 39 LEY 756
80,ANTIOQUIA,PUERTO NARE,2017,8,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,39.64,0.06,18133.46,1088.01,128236162.86,2973.2,Ley 756 8% variable
81,ANTIOQUIA,PUERTO NARE,2017,9,NARE ASOCIACION,NARE,B,O,36.49,0.2,6959.13,1391.83,148142231.26,2917.09,Ley 141 20%
82,ANTIOQUIA,PUERTO NARE,2017,9,NARE ASOCIACION,UNDERRIVER,P,O,35.18,0.06,26631.18,1597.87,163961876.47,2917.09,Ley 756 8% variable
83,ANTIOQUIA,PUERTO NARE,2017,9,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.67,0.2,2873,574.6,6144802.03,2917.09,Ley 141 20%
84,ANTIOQUIA,PUERTO NARE,2017,9,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.67,0.12,2873,344.76,3686881.34,2917.09,ARTICULO 39 LEY 756
85,ANTIOQUIA,PUERTO NARE,2017,9,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,42.82,0.2,14283.62,2856.72,356858638.58,2917.09,Ley 141 20%
86,ANTIOQUIA,PUERTO NARE,2017,9,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,42.82,0.12,14283.62,1714.03,214115183.44,2917.09,ARTICULO 39 LEY 756
87,ANTIOQUIA,PUERTO NARE,2017,9,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,42.82,0.06,16987.36,1019.24,127322475,2917.09,Ley 756 8% variable
88,ANTIOQUIA,PUERTO NARE,2017,10,NARE ASOCIACION,NARE,B,O,37.78,0.2,7570.8,1514.16,168965263.78,2953.76,Ley 141 20%
89,ANTIOQUIA,PUERTO NARE,2017,10,NARE ASOCIACION,UNDERRIVER,P,O,35.03,0.06,26214.18,1572.85,162755285.99,2953.76,Ley 756 8% variable
90,ANTIOQUIA,PUERTO NARE,2017,10,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.54,0.2,2950.59,590.12,6169933.98,2953.76,Ley 141 20%
91,ANTIOQUIA,PUERTO NARE,2017,10,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.54,0.12,2950.59,354.07,3701960.44,2953.76,ARTICULO 39 LEY 756
92,ANTIOQUIA,PUERTO NARE,2017,10,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,44.33,0.2,14670.14,2934.03,384220288.54,2953.76,Ley 141 20%
93,ANTIOQUIA,PUERTO NARE,2017,10,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,44.33,0.12,14670.14,1760.42,230532173.41,2953.76,ARTICULO 39 LEY 756
94,ANTIOQUIA,PUERTO NARE,2017,10,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,44.33,0.06,15888.52,953.31,124839130.59,2953.76,Ley 756 8% variable
95,ANTIOQUIA,PUERTO NARE,2017,11,NARE ASOCIACION,NARE,B,O,39.57,0.2,6664.89,1332.98,158967185.57,3013.47,Ley 141 20%
96,ANTIOQUIA,PUERTO NARE,2017,11,NARE ASOCIACION,UNDERRIVER,P,O,36.73,0.06,21610.36,1296.62,143510771.33,3013.47,Ley 756 8% variable
97,ANTIOQUIA,PUERTO NARE,2017,11,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.46,0.2,3008.68,601.74,6279141.27,3013.47,Ley 141 20%
98,ANTIOQUIA,PUERTO NARE,2017,11,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.46,0.12,3008.68,361.04,3767484.96,3013.47,ARTICULO 39 LEY 756
99,ANTIOQUIA,PUERTO NARE,2017,11,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,46.11,0.2,13999.4,2799.88,389063284.78,3013.47,Ley 141 20%
100,ANTIOQUIA,PUERTO NARE,2017,11,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,46.11,0.12,13999.4,1679.93,233437971.2,3013.47,ARTICULO 39 LEY 756
101,ANTIOQUIA,PUERTO NARE,2017,11,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,46.11,0.06,18172.76,1090.37,151514072.78,3013.47,Ley 756 8% variable
102,ANTIOQUIA,PUERTO NARE,2017,12,NARE ASOCIACION,NARE,B,O,42.12,0.2,6473.56,1294.71,163133410.82,2991.76,Ley 141 20%
103,ANTIOQUIA,PUERTO NARE,2017,12,NARE ASOCIACION,UNDERRIVER,P,O,39.35,0.06,25831.1,1549.87,182481403.25,2991.76,Ley 756 8% variable
104,ANTIOQUIA,PUERTO NARE,2017,12,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.47,0.2,2996.85,599.37,6219255.33,2991.76,Ley 141 20%
105,ANTIOQUIA,PUERTO NARE,2017,12,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.47,0.12,2996.85,359.62,3731553.39,2991.76,ARTICULO 39 LEY 756
106,ANTIOQUIA,PUERTO NARE,2017,12,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,48.68,0.2,15649.26,3129.85,455810338.03,2991.76,Ley 141 20%
107,ANTIOQUIA,PUERTO NARE,2017,12,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,48.68,0.12,15649.26,1877.91,273486203.2,2991.76,ARTICULO 39 LEY 756
108,ANTIOQUIA,PUERTO NARE,2017,12,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,48.68,0.06,15355.38,921.32,134175180.46,2991.76,Ley 756 8% variable
109,ANTIOQUIA,PUERTO TRIUNFO,2017,1,CONTRATO DE COLABORACIÓN EMPRESARIAL CAMPO ÁREA TECA – COCORNÁ ENTRE ECOPETROL S,AREA TECA-COCORNA,I,O,37.63,0.06,0,0,0,2941.4,Ley 756 8% variable
110,ANTIOQUIA,PUERTO TRIUNFO,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.7,0.12,0,0,0,2941.4,ARTICULO 39 LEY 756
111,ANTIOQUIA,PUERTO TRIUNFO,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.7,0.12,3978,477.36,5201092.06,2941.4,ARTICULO 39 LEY 756
112,ANTIOQUIA,PUERTO TRIUNFO,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.63,0.12,14535,1744.2,193030919.23,2941.4,ARTICULO 39 LEY 756
113,ANTIOQUIA,PUERTO TRIUNFO,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.7,0.2,3978,795.6,8668486.59,2941.4,Ley 141 20%
114,ANTIOQUIA,PUERTO TRIUNFO,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.7,0.2,0,0,0,2941.4,Ley 141 20%
115,ANTIOQUIA,PUERTO TRIUNFO,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.63,0.2,14535,2907,321718198.21,2941.4,Ley 141 20%
116,ANTIOQUIA,PUERTO TRIUNFO,2017,2,CONTRATO DE COLABORACIÓN EMPRESARIAL CAMPO ÁREA TECA – COCORNÁ ENTRE ECOPETROL S,AREA TECA-COCORNA,I,O,39.7,0.06,0,0,0,2879.57,Ley 756 8% variable
117,ANTIOQUIA,PUERTO TRIUNFO,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.77,0.12,0,0,0,2879.57,ARTICULO 39 LEY 756
118,ANTIOQUIA,PUERTO TRIUNFO,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.77,0.12,3463,415.56,4511071.27,2879.57,ARTICULO 39 LEY 756
119,ANTIOQUIA,PUERTO TRIUNFO,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.7,0.12,12696,1523.52,174151819.93,2879.57,ARTICULO 39 LEY 756
120,ANTIOQUIA,PUERTO TRIUNFO,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.77,0.2,3463,692.6,7518451.76,2879.57,Ley 141 20%
121,ANTIOQUIA,PUERTO TRIUNFO,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.7,0.2,12696,2539.2,290253032.92,2879.57,Ley 141 20%
122,ANTIOQUIA,PUERTO TRIUNFO,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.77,0.2,0,0,0,2879.57,Ley 141 20%
123,ANTIOQUIA,PUERTO TRIUNFO,2017,3,CONTRATO DE COLABORACIÓN EMPRESARIAL CAMPO ÁREA TECA – COCORNÁ ENTRE ECOPETROL S,AREA TECA-COCORNA,I,O,37.59,0.06,0,0,0,2942.29,Ley 756 8% variable
124,ANTIOQUIA,PUERTO TRIUNFO,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.67,0.12,0,0,0,2942.29,ARTICULO 39 LEY 756
125,ANTIOQUIA,PUERTO TRIUNFO,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.67,0.12,3654,438.48,4734796.63,2942.29,ARTICULO 39 LEY 756
126,ANTIOQUIA,PUERTO TRIUNFO,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.59,0.12,13606,1632.72,180561208.7,2942.29,ARTICULO 39 LEY 756
127,ANTIOQUIA,PUERTO TRIUNFO,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.67,0.2,3654,730.8,7891327.64,2942.29,Ley 141 20%
128,ANTIOQUIA,PUERTO TRIUNFO,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.67,0.2,0,0,0,2942.29,Ley 141 20%
129,ANTIOQUIA,PUERTO TRIUNFO,2017,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.59,0.2,13606,2721.2,300935347.27,2942.29,Ley 141 20%
130,ANTIOQUIA,PUERTO TRIUNFO,2017,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.79,0.2,3510,702,7655053.86,2877.82,Ley 141 20%
131,ANTIOQUIA,PUERTO TRIUNFO,2017,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.79,0.12,3510,421.2,4593032.49,2877.82,ARTICULO 39 LEY 756
132,ANTIOQUIA,PUERTO TRIUNFO,2017,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,40.05,0.2,13025,2605,300269168.45,2877.82,Ley 141 20%
133,ANTIOQUIA,PUERTO TRIUNFO,2017,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,40.05,0.12,13025,1563,180161501.34,2877.82,ARTICULO 39 LEY 756
134,ANTIOQUIA,PUERTO TRIUNFO,2017,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.72,0.2,4125.2,825.04,8982883.4,2923.61,Ley 141 20%
135,ANTIOQUIA,PUERTO TRIUNFO,2017,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.72,0.12,4125.2,495.02,5389730.23,2923.61,ARTICULO 39 LEY 756
136,ANTIOQUIA,PUERTO TRIUNFO,2017,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.31,0.2,14243.07,2848.61,327361317.86,2923.61,Ley 141 20%
137,ANTIOQUIA,PUERTO TRIUNFO,2017,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,39.31,0.12,14243.07,1709.17,196416791.13,2923.61,ARTICULO 39 LEY 756
